x,y,z,p0,p1
-5.032023e-02,3.267834e-02,8.959480e-18,1.000000e+00,5.446390e-01
-5.196152e-02,3.000000e-02,9.099557e-18,1.000000e+00,5.000000e-01
-5.032023e-02,3.267834e-02,5.555556e-03,1.000000e+00,5.446390e-01
-5.032023e-02,3.267834e-02,2.777778e-03,1.000000e+00,5.446390e-01
-5.115841e-02,3.134991e-02,2.777778e-03,1.000000e+00,5.224986e-01
-5.115841e-02,3.134991e-02,9.032614e-18,1.000000e+00,5.224986e-01
-5.346039e-02,2.723943e-02,9.214693e-18,1.000000e+00,4.539905e-01
-5.346039e-02,2.723943e-02,5.555556e-03,1.000000e+00,4.539905e-01
-5.272903e-02,2.862953e-02,9.160264e-18,1.000000e+00,4.771588e-01
-5.272903e-02,2.862953e-02,2.777778e-03,1.000000e+00,4.771588e-01
-5.346039e-02,2.723943e-02,2.777778e-03,1.000000e+00,4.539905e-01
-5.196152e-02,3.000000e-02,5.555556e-03,1.000000e+00,5.000000e-01
-5.601483e-02,2.150208e-02,1.083252e-17,1.000000e+00,3.583679e-01
-5.601483e-02,2.150208e-02,5.555556e-03,1.000000e+00,3.583679e-01
-5.706339e-02,1.854102e-02,1.093818e-17,1.000000e+00,3.090170e-01
-5.601483e-02,2.150208e-02,2.777778e-03,1.000000e+00,3.583679e-01
-5.655849e-02,2.002841e-02,2.777778e-03,1.000000e+00,3.338069e-01
-5.655849e-02,2.002841e-02,1.088908e-17,1.000000e+00,3.338069e-01
-5.795555e-02,1.552914e-02,5.555556e-03,1.000000e+00,2.588190e-01
-5.795555e-02,1.552914e-02,1.101386e-17,1.000000e+00,2.588190e-01
-5.752918e-02,1.704092e-02,2.777778e-03,1.000000e+00,2.840153e-01
-5.795555e-02,1.552914e-02,2.777778e-03,1.000000e+00,2.588190e-01
-5.752918e-02,1.704092e-02,1.097978e-17,1.000000e+00,2.840153e-01
-5.706339e-02,1.854102e-02,5.555556e-03,1.000000e+00,3.090170e-01
-5.926130e-02,9.386068e-03,1.253810e-17,1.000000e+00,1.564345e-01
-5.967131e-02,6.271708e-03,1.258989e-17,1.000000e+00,1.045285e-01
-5.926130e-02,9.386068e-03,5.555556e-03,1.000000e+00,1.564345e-01
-5.926130e-02,9.386068e-03,2.777778e-03,1.000000e+00,1.564345e-01
-5.948669e-02,7.831572e-03,2.777778e-03,1.000000e+00,1.305262e-01
-5.948669e-02,7.831572e-03,1.256830e-17,1.000000e+00,1.305262e-01
-5.991777e-02,3.140157e-03,5.555556e-03,1.000000e+00,5.233596e-02
-5.991777e-02,3.140157e-03,1.260716e-17,1.000000e+00,5.233596e-02
-5.981504e-02,4.707546e-03,2.777778e-03,1.000000e+00,7.845910e-02
-5.991777e-02,3.140157e-03,2.777778e-03,1.000000e+00,5.233596e-02
-5.981504e-02,4.707546e-03,1.260284e-17,1.000000e+00,7.845910e-02
-5.967131e-02,6.271708e-03,5.555556e-03,1.000000e+00,1.045285e-01
-5.991777e-02,-3.140157e-03,1.400167e-17,1.000000e+00,-5.233596e-02
-5.991777e-02,-3.140157e-03,5.555556e-03,1.000000e+00,-5.233596e-02
-5.967131e-02,-6.271708e-03,1.398248e-17,1.000000e+00,-1.045285e-01
-5.991777e-02,-3.140157e-03,2.777778e-03,1.000000e+00,-5.233596e-02
-5.981504e-02,-4.707546e-03,2.777778e-03,1.000000e+00,-7.845910e-02
-5.981504e-02,-4.707546e-03,1.399688e-17,1.000000e+00,-7.845910e-02
-5.926130e-02,-9.386068e-03,1.392497e-17,1.000000e+00,-1.564345e-01
-5.926130e-02,-9.386068e-03,5.555556e-03,1.000000e+00,-1.564345e-01
-5.948669e-02,-7.831572e-03,1.395851e-17,1.000000e+00,-1.305262e-01
-5.948669e-02,-7.831572e-03,2.777778e-03,1.000000e+00,-1.305262e-01
-5.926130e-02,-9.386068e-03,2.777778e-03,1.000000e+00,-1.564345e-01
-5.967131e-02,-6.271708e-03,5.555556e-03,1.000000e+00,-1.045285e-01
-5.795555e-02,-1.552914e-02,1.515928e-17,1.000000e+00,-2.588190e-01
-5.706339e-02,-1.854102e-02,1.505511e-17,1.000000e+00,-3.090170e-01
-5.795555e-02,-1.552914e-02,5.555556e-03,1.000000e+00,-2.588190e-01
-5.752918e-02,-1.704092e-02,1.511237e-17,1.000000e+00,-2.840153e-01
-5.795555e-02,-1.552914e-02,2.777778e-03,1.000000e+00,-2.588190e-01
-5.752918e-02,-1.704092e-02,2.777778e-03,1.000000e+00,-2.840153e-01
