x,y,z,real,imag
-6.5426498413085940e-02,-3.9280418395996095e-02,-1.1522756958007813e-01,4.9326679115259797e-01,2.1550569134394491e+00
8.8519096374511719e-02,1.1258498191833496e-02,-1.1774160003662110e-01,4.3565517869154446e-01,-2.3817178643832904e-01
1.1905368041992187e-01,1.2858175659179688e-01,-1.7598899841308593e-01,1.9971542873207393e+00,2.0673531742966302e+00
1.0962130737304687e-01,1.3315316772460936e-01,-1.9662643432617188e-01,2.0895142281560171e+00,1.6734585845601944e+00
-8.5903831481933590e-02,-2.9146251678466798e-02,-1.3132119750976562e-01,6.2260700015152293e-01,2.7008216647103307e+00
-1.2920426940917970e-01,-1.8009193420410158e-02,-1.4774658203124999e-01,8.3761328213362374e-01,3.2928828700143065e+00
-6.0732730865478514e-02,9.3575225830078129e-02,-2.0390315246582030e-01,2.0864379131089921e+00,3.2955560865380003e+00
-1.1662448120117187e-01,-2.3726182937622069e-02,-1.4660139465332031e-01,7.6104636138354054e-01,3.1206587339165748e+00
7.9791694641113284e-02,-1.7393259048461913e-02,-1.1526838684082032e-01,2.7057180059498875e-01,-7.6071249968101484e-01
-9.9919555664062507e-02,7.7614234924316405e-02,-2.0818734741210937e-01,1.8500238993776907e+00,3.8777616106230735e+00
-4.2979206085205078e-02,9.6841705322265631e-02,-1.9962121582031250e-01,2.1493648976916946e+00,2.8909498937944758e+00
-2.6888092041015624e-02,9.5000892639160159e-02,-1.9955676269531250e-01,2.1795504303225490e+00,2.4421878044248366e+00
-2.4566025733947752e-03,9.0699249267578122e-02,-2.0309541320800781e-01,2.1751245722460792e+00,1.5863024718821068e+00
-1.4968824768066405e-01,-4.6033227443695069e-04,-1.6404957580566407e-01,1.0294054789843983e+00,3.6137860298787308e+00
-1.1270126342773437e-01,7.0007164001464839e-02,-2.0707751464843749e-01,1.7484817323395783e+00,3.9763545482487377e+00
-1.5153939819335938e-01,6.4859852790832518e-03,-1.6812721252441407e-01,1.0896318585102909e+00,3.7043597645932937e+00
8.5164733886718746e-02,-3.4083638191223144e-03,-1.1551671600341797e-01,3.4197095315098636e-01,-5.6475306922468960e-01
-9.8210479736328127e-02,-2.9554754257202148e-02,-1.4590290832519531e-01,6.6337020352470999e-01,2.8568931500091681e+00
-1.0226099395751953e-01,-2.2626171112060545e-02,-1.4672734069824220e-01,7.2731679272295846e-01,3.0355126970314270e+00
3.3459640502929690e-02,8.2462753295898444e-02,-2.0509196472167968e-01,2.0467282673358991e+00,1.9068908184613620e-01
1.3260559082031250e-02,-3.9393650054931638e-02,-1.1539994049072265e-01,2.9603091484284283e-01,5.9502659313874062e-01
-2.6765482425689696e-03,-3.9275970458984372e-02,-1.1540026092529297e-01,3.3423105891971350e-01,9.6726952437153324e-01
